aX,aY,aZ,gX,gY,gZ
-0.112,-0.028,1.036,-7.019,-2.563,18.616
-0.104,-0.037,1.031,-4.700,-2.075,18.066
-0.095,-0.031,1.021,-3.418,-1.282,16.602
-0.090,-0.028,1.031,0.671,-0.427,16.907
-0.093,-0.027,1.048,5.127,-0.183,18.433
-0.088,-0.026,1.065,7.446,-0.549,20.325
-0.084,-0.033,1.074,8.911,-1.343,22.827
-0.067,-0.032,1.073,7.385,-3.296,25.879
-0.052,-0.040,1.073,5.859,-4.883,28.076
-0.057,-0.058,1.085,3.235,-6.958,29.663
-0.058,-0.065,1.092,-0.977,-7.874,29.907
-0.063,-0.079,1.088,-3.418,-9.583,30.334
-0.070,-0.103,1.083,-3.479,-11.108,31.128
-0.069,-0.115,1.061,-4.456,-11.841,30.579
-0.063,-0.113,1.040,-4.700,-11.292,29.297
-0.066,-0.116,1.042,-3.357,-10.498,28.992
-0.070,-0.126,1.051,-1.831,-8.728,28.503
-0.069,-0.128,1.060,-0.244,-7.263,28.015
-0.062,-0.126,1.065,2.136,-5.920,27.222
-0.054,-0.126,1.063,2.258,-4.822,25.818
-0.044,-0.138,1.056,1.404,-4.089,24.353
-0.029,-0.145,1.046,1.587,-3.113,23.315
-0.018,-0.145,1.042,3.174,-2.258,22.461
-0.012,-0.142,1.045,4.517,-0.977,21.973
-0.001,-0.147,1.040,5.005,-0.366,21.851
0.018,-0.174,1.025,5.371,-0.183,22.034
0.031,-0.201,1.006,4.883,-0.244,21.973
0.026,-0.214,1.005,4.822,0.183,20.203
0.020,-0.220,1.008,4.517,0.977,16.907
0.025,-0.210,1.003,3.662,1.038,14.160
0.032,-0.211,0.993,3.296,0.977,12.024
0.027,-0.208,0.988,1.099,0.793,10.010
0.037,-0.198,0.968,-0.122,1.343,8.301
0.033,-0.189,0.960,1.587,2.319,7.507
0.033,-0.188,0.965,1.953,2.991,6.653
0.023,-0.184,0.975,0.000,2.991,5.798
-0.400,0.920,1.201,-25.024,4.883,38.391
-0.412,0.770,1.225,-25.024,4.211,55.542
-0.420,0.590,1.275,-17.761,3.113,72.449
-0.427,0.416,1.307,-12.024,1.953,82.092
-0.407,0.258,1.272,-8.545,-1.160,87.097
-0.432,0.076,1.189,-7.690,-4.639,92.957
-0.422,-0.113,1.074,-5.676,-5.981,98.389
-0.427,-0.296,0.967,-1.526,-5.981,106.506
-0.427,-0.465,0.905,5.066,-1.770,111.572
-0.425,-0.630,0.888,11.475,4.517,113.159
-0.434,-0.785,0.903,18.188,11.169,112.793
-0.407,-0.930,0.889,21.057,17.090,109.314
-0.348,-1.034,0.885,25.330,21.729,103.882
-0.316,-1.075,0.909,32.715,26.245,96.558
-0.292,-1.071,0.965,36.438,29.114,87.708
-0.279,-1.116,0.956,42.419,29.907,78.064
-0.189,-1.129,0.977,42.847,31.250,70.007
-0.098,-1.205,0.934,41.016,26.733,62.378
-0.011,-1.221,0.901,33.936,20.935,50.232
0.090,-1.191,0.861,28.625,16.907,34.790
0.189,-1.130,0.832,28.442,15.869,18.250
0.291,-1.010,0.814,31.616,16.235,3.357
0.406,-0.825,0.799,36.621,17.029,-7.263
0.504,-0.604,0.815,38.452,18.188,-15.564
0.588,-0.423,0.828,31.128,19.409,-21.973
0.651,-0.304,0.849,15.930,18.738,-26.428
0.711,-0.259,0.887,1.160,15.625,-28.870
0.776,-0.260,0.910,-5.676,11.780,-29.175
0.838,-0.241,0.888,-12.390,8.728,-34.058
0.857,-0.174,0.882,-23.621,6.897,-43.884
0.865,-0.115,0.895,-27.649,6.409,-50.171
0.885,-0.091,0.903,-21.118,6.531,-50.476
0.900,-0.069,0.918,-10.559,6.897,-49.133
0.888,-0.031,0.949,-0.793,8.362,-50.049
0.863,0.032,0.970,4.211,10.193,-53.101
0.853,0.106,1.000,6.409,10.498,-54.688
0.810,0.153,1.002,4.517,8.911,-50.964
0.790,0.148,1.005,-2.747,8.362,-47.363
0.772,0.093,0.982,-8.545,5.737,-48.523
0.746,0.034,0.936,-13.000,6.653,-47.729
0.693,-0.003,0.899,-14.343,8.301,-46.143
0.632,0.014,0.869,-11.963,8.362,-46.326
0.577,0.062,0.851,-4.944,8.972,-47.363
0.509,0.094,0.855,2.136,10.376,-47.363
0.459,0.103,0.864,1.648,10.376,-45.166
0.419,0.107,0.872,-1.770,10.071,-40.955
0.379,0.079,0.891,-3.967,10.559,-36.377
0.352,0.026,0.918,-6.287,10.986,-32.837
0.322,-0.002,0.952,-9.338,11.536,-30.029
0.296,-0.019,0.990,-10.193,11.902,-29.114
0.284,-0.028,1.023,-9.399,10.498,-27.893
0.273,-0.022,1.039,-9.827,8.362,-27.466
0.271,0.001,1.037,-10.132,5.798,-28.381
0.297,0.040,1.013,-11.047,3.174,-30.151
0.270,0.079,0.990,-17.029,1.221,-32.288
0.257,0.125,0.966,-25.208,-0.305,-35.217
0.242,0.185,0.945,-37.537,-1.648,-38.757
0.210,0.218,0.950,-43.213,-0.854,-41.504
0.163,0.228,0.972,-43.091,0.244,-41.016
0.139,0.258,0.969,-39.612,0.488,-38.635
0.129,0.282,0.963,-31.921,0.549,-35.034
0.128,0.281,0.953,-21.240,1.160,-30.579
0.144,0.266,0.960,-9.949,2.686,-25.757
0.151,0.225,0.966,0.061,4.028,-22.400
0.132,0.188,0.987,6.836,6.042,-22.644
0.113,0.194,0.994,13.733,8.606,-24.902
0.067,0.244,1.012,18.372,10.986,-28.137
0.024,0.292,1.062,22.766,12.878,-29.480
-0.010,0.332,1.104,23.437,13.184,-26.794
-0.035,0.342,1.130,20.325,12.207,-23.193
-0.045,0.319,1.132,15.320,10.193,-17.334
-0.042,0.284,1.121,7.446,6.775,-9.277
-0.042,0.240,1.118,1.587,2.808,-2.258
-0.042,0.204,1.118,1.160,-0.610,2.869
-0.055,0.191,1.100,4.211,-3.296,7.141
-0.099,0.189,1.094,8.118,-5.127,10.132
-0.139,0.198,1.096,11.597,-5.920,13.245
-0.146,0.191,1.092,10.803,-7.141,17.944
-0.166,0.160,1.084,5.493,-8.606,24.048
-0.182,0.107,1.057,0.427,-10.315,30.029
-0.188,-0.000,1.048,0.732,-11.841,34.973
-0.188,-0.057,1.026,1.587,-13.367,37.842
-0.177,-0.086,1.004,3.723,-14.404,39.246
-0.156,-0.112,0.974,7.874,-15.076,40.161
-0.147,-0.158,0.963,10.498,-14.404,41.016
-0.150,-0.208,0.967,10.742,-13.000,41.870
-0.154,-0.253,0.983,10.376,-11.658,43.396
-0.164,-0.288,1.002,11.414,-10.681,43.823
-0.151,-0.319,1.016,13.794,-10.010,43.579
-0.129,-0.350,1.031,14.587,-10.071,42.603
-0.115,-0.376,1.044,10.742,-10.742,40.161
-0.086,-0.394,1.041,6.653,-11.475,38.391
-0.060,-0.389,1.032,3.967,-12.146,37.231
-0.045,-0.384,1.034,2.808,-12.146,35.522
-0.017,-0.382,1.035,2.441,-11.963,33.813
0.010,-0.392,1.018,-0.793,-12.024,31.799
0.034,-0.408,1.003,-6.226,-11.536,28.992
0.036,-0.406,1.000,-9.399,-10.071,24.902
0.049,-0.397,1.000,-7.019,-8.911,20.142
0.069,-0.359,0.989,-2.441,-7.812,14.343
0.084,-0.317,0.971,2.991,-6.287,8.728
0.093,-0.255,0.954,6.287,-4.700,3.357
0.098,-0.212,0.942,8.850,-2.686,-0.427
0.092,-0.185,0.946,9.399,-0.122,-2.747
0.089,-0.158,0.949,7.446,1.892,-4.639
0.090,-0.129,0.961,5.310,3.479,-5.737
0.087,-0.111,0.980,4.456,4.822,-5.981
0.091,-0.103,0.975,1.892,5.371,-5.493
0.087,-0.117,0.970,-3.479,4.578,-3.845
0.088,-0.132,0.960,-6.409,4.395,-2.869
0.095,-0.135,0.943,-7.507,4.517,-2.136
0.099,-0.129,0.934,-6.042,5.249,-2.014
0.093,-0.118,0.941,-4.395,6.042,-1.465
0.091,-0.112,0.959,-1.709,6.531,-1.038
0.093,-0.102,0.973,0.183,6.714,-0.732
0.094,-0.085,0.976,0.305,6.348,-0.305
0.091,-0.078,0.988,-0.061,5.737,0.000
0.093,-0.087,0.992,-0.671,5.066,0.305
0.093,-0.101,0.995,-1.709,4.150,0.183
-0.372,-1.208,0.986,23.010,10.376,75.500
-0.297,-1.155,1.034,37.537,16.663,62.012
-0.208,-1.063,1.095,40.955,19.470,49.255
-0.141,-0.946,1.121,37.598,20.020,37.964
0.062,-0.869,1.155,36.926,17.883,28.381
0.215,-0.745,1.170,36.682,16.052,20.752
0.353,-0.666,1.168,38.635,10.315,14.771
0.471,-0.650,1.101,28.931,3.784,8.362
0.580,-0.716,1.034,16.174,-2.258,0.488
0.656,-0.766,0.977,5.798,-6.531,-11.597
0.721,-0.764,0.960,-6.470,-8.911,-28.564
0.788,-0.691,0.929,-15.686,-11.292,-43.701
0.876,-0.570,0.852,-17.700,-14.221,-55.359
0.946,-0.417,0.741,-22.156,-15.808,-64.819
0.978,-0.273,0.649,-31.616,-14.221,-71.960
0.990,-0.163,0.621,-38.452,-10.132,-74.890
0.997,-0.068,0.613,-43.640,-6.165,-74.768
0.981,-0.014,0.608,-47.729,-3.540,-74.341
0.961,0.003,0.579,-45.166,-1.526,-72.388
0.928,0.041,0.562,-31.616,1.770,-69.641
0.891,0.101,0.620,-8.972,7.690,-66.528
0.838,0.183,0.701,8.362,12.451,-62.317
0.818,0.222,0.794,20.508,16.785,-54.077
0.762,0.189,0.863,23.010,16.663,-48.584
0.708,0.122,0.896,13.916,17.944,-47.058
0.643,0.068,0.934,1.343,20.630,-45.349
0.570,0.058,0.985,-6.104,21.851,-44.128
0.493,0.060,1.027,-7.202,22.156,-44.067
0.416,0.086,1.047,-6.897,21.851,-45.715
0.352,0.102,1.052,-5.310,19.775,-46.570
0.302,0.129,1.051,-7.385,16.602,-45.776
0.266,0.161,1.036,-10.864,13.855,-45.349
0.233,0.196,1.009,-11.536,11.108,-44.250
0.221,0.222,0.980,-9.949,7.751,-39.978
0.191,0.244,0.973,-7.629,6.226,-36.316
0.155,0.274,0.962,-4.883,5.615,-33.142
0.125,0.298,0.962,-0.366,5.981,-29.053
0.090,0.287,0.971,3.174,6.042,-24.292
0.063,0.246,0.993,3.418,6.531,-21.179
0.021,0.207,1.013,2.869,7.080,-19.226
0.016,0.184,1.034,5.127,7.568,-18.188
-0.016,0.179,1.046,4.272,7.690,-17.578
-0.027,0.139,1.046,3.662,7.568,-16.846
-0.051,0.114,1.027,1.038,7.141,-15.991
-0.072,0.107,1.012,0.000,7.202,-15.747
-0.077,0.100,1.009,-0.793,7.568,-15.808
-0.073,0.109,1.011,-2.380,7.935,-15.137
-0.105,0.137,1.036,-2.686,8.545,-14.404
-0.129,0.191,1.060,0.916,9.583,-14.648
-0.122,0.257,1.077,3.418,9.338,-13.245
-0.112,0.304,1.094,5.615,8.667,-9.644
-0.095,0.322,1.099,7.751,7.385,-4.333
