aX,aY,aZ,gX,gY,gZ
-0.064,-0.149,0.979,0.366,2.197,0.183
-0.063,-0.137,0.979,-0.549,1.587,0.183
-0.065,-0.129,0.982,-1.038,1.160,0.122
-0.064,-0.129,0.978,-1.343,0.793,0.793
-0.057,-0.127,0.972,-2.014,0.427,1.770
-0.056,-0.132,0.971,-2.991,0.610,2.625
-0.052,-0.139,0.971,-3.357,1.099,3.296
-0.047,-0.146,0.973,-2.930,2.075,3.845
-0.045,-0.151,0.982,-1.587,3.479,3.967
-0.046,-0.157,0.992,-0.488,4.578,3.906
-0.045,-0.161,0.999,0.916,5.432,3.540
-0.038,-0.175,1.000,2.686,6.226,3.235
-0.040,-0.179,1.000,4.272,7.019,2.563
-0.041,-0.184,1.005,6.653,7.690,1.526
-0.043,-0.180,1.012,7.996,7.690,0.427
-0.046,-0.166,1.012,7.446,7.202,-0.488
-0.046,-0.166,1.010,6.897,6.470,-0.549
-0.044,-0.166,1.008,6.165,5.676,-0.488
-0.094,1.587,1.349,34.302,32.898,-43.701
-0.087,1.499,1.313,10.071,23.560,-19.531
-0.028,1.207,1.245,-19.409,10.864,11.353
-0.020,0.819,1.179,-46.387,-0.732,38.208
0.008,0.407,1.113,-60.547,-8.484,61.890
0.048,0.030,1.101,-55.603,-12.390,82.092
0.058,-0.248,1.131,-33.508,-12.451,92.346
0.050,-0.385,1.136,-11.841,-12.207,92.163
0.063,-0.425,1.107,4.272,-14.771,90.576
0.084,-0.495,1.081,17.639,-18.677,93.811
0.111,-0.628,1.043,24.170,-23.682,102.600
0.124,-0.793,1.004,17.761,-29.602,110.352
0.143,-0.947,0.970,5.188,-33.691,114.563
0.148,-1.130,0.945,-3.052,-35.339,116.211
0.150,-1.297,0.921,-10.803,-35.156,113.831
0.136,-1.440,0.906,-13.000,-32.532,107.544
0.124,-1.522,0.884,-9.277,-28.198,96.741
0.103,-1.549,0.874,-4.089,-23.010,82.520
0.053,-1.552,0.866,2.502,-17.517,67.078
0.024,-1.533,0.861,6.836,-13.062,52.124
-0.007,-1.486,0.850,4.028,-10.681,36.743
-0.016,-1.468,0.826,2.014,-9.033,21.851
-0.016,-1.477,0.799,1.587,-8.240,8.606
-0.004,-1.456,0.772,-0.488,-7.629,-5.188
0.011,-1.371,0.753,0.549,-6.470,-21.179
0.019,-1.216,0.758,5.066,-4.700,-37.354
0.012,-1.026,0.791,9.644,-2.991,-50.293
