aX,aY,aZ,gX,gY,gZ
2.218,0.844,1.639,-34.302,-22.827,9.277
1.840,0.692,1.445,-25.940,-47.485,25.940
1.525,0.558,1.365,-31.372,-61.096,38.696
1.249,0.408,1.301,-41.382,-72.510,51.758
0.976,0.220,1.180,-42.236,-84.534,68.054
0.679,0.028,1.005,-37.292,-94.238,81.360
0.385,-0.114,0.839,-28.564,-95.337,84.595
0.147,-0.200,0.741,-19.348,-91.736,75.623
-0.025,-0.280,0.685,-11.719,-88.501,60.303
-0.156,-0.339,0.669,-3.418,-85.632,46.021
-0.264,-0.378,0.670,2.136,-81.604,34.790
-0.333,-0.409,0.673,6.531,-74.402,27.527
-0.416,-0.422,0.697,6.714,-61.707,22.278
-0.516,-0.423,0.715,4.578,-44.312,19.226
-0.604,-0.436,0.723,2.686,-26.184,16.418
-0.652,-0.440,0.760,1.587,-9.338,11.047
-0.676,-0.432,0.813,2.625,5.310,3.662
-0.660,-0.400,0.842,7.080,17.883,-4.333
-0.566,-0.311,0.873,14.221,29.297,-14.221
-0.443,-0.209,0.949,18.494,37.476,-23.376
-0.347,-0.170,1.024,17.029,35.461,-28.259
-0.278,-0.159,1.051,18.005,27.893,-26.611
-0.253,-0.132,1.049,20.813,19.531,-22.095
-0.258,-0.119,1.040,24.231,12.573,-18.677
-0.260,-0.121,1.041,28.503,8.789,-17.944
-0.245,-0.131,1.045,33.020,5.981,-18.555
-0.207,-0.141,1.056,38.574,3.967,-20.264
-0.156,-0.128,1.062,44.006,3.113,-21.484
-0.110,-0.106,1.080,45.593,2.808,-21.667
-0.071,-0.093,1.095,43.335,2.563,-18.982
-0.042,-0.088,1.107,38.330,2.563,-13.123
-0.021,-0.088,1.104,32.532,2.930,-5.371
-0.009,-0.095,1.094,25.208,3.845,2.136
-0.005,-0.115,1.083,16.785,4.517,8.179
-0.017,-0.126,1.070,8.850,3.784,12.207
-0.031,-0.125,1.056,4.211,1.404,14.038
-0.042,-0.136,1.041,4.456,-1.343,13.794
-0.046,-0.151,1.023,6.409,-3.662,12.085
-0.031,-0.136,1.020,8.972,-5.371,9.583
-0.011,-0.128,1.031,10.986,-6.104,6.592
0.002,-0.124,1.037,11.841,-7.080,4.883
0.000,-0.112,1.027,11.780,-8.728,4.883
-0.001,-0.098,1.012,12.024,-9.033,4.822
-0.004,-0.091,1.007,10.193,-8.118,3.845
-0.010,-0.096,1.008,6.592,-5.859,3.601
-0.015,-0.104,1.011,3.418,-2.380,3.479
-0.015,-0.103,1.021,0.793,1.953,2.380
-0.016,-0.105,1.027,-0.244,6.531,0.183
-0.009,-0.107,1.022,-0.549,11.230,-2.197
0.002,-0.110,1.040,-1.343,14.282,-4.211
0.019,-0.108,1.059,-2.258,15.198,-5.005
0.026,-0.098,1.063,-1.282,13.733,-4.517
0.031,-0.093,1.071,1.282,11.169,-3.601
0.032,-0.099,1.076,4.578,8.240,-2.441
0.034,-0.114,1.070,7.568,5.127,-1.587
0.033,-0.123,1.067,9.521,2.686,-1.221
0.031,-0.127,1.065,10.437,0.671,-0.793
0.028,-0.131,1.063,10.681,-1.099,0.122
0.025,-0.142,1.055,11.108,-2.747,1.282
0.018,-0.152,1.045,11.108,-4.089,2.075
0.013,-0.165,1.049,9.583,-5.432,2.563
0.003,-0.173,1.047,8.545,-6.714,2.686
-0.012,-0.175,1.034,8.362,-7.751,2.625
-0.022,-0.175,1.022,8.301,-8.362,2.441
-0.025,-0.173,1.021,7.629,-8.728,1.892
-0.028,-0.174,1.023,7.141,-8.972,1.648
-0.031,-0.181,1.021,6.592,-9.216,1.648
-0.038,-0.178,1.021,5.981,-9.277,2.197
-0.044,-0.179,1.025,4.395,-9.216,2.991
-0.047,-0.178,1.028,2.625,-8.972,3.784
-0.053,-0.170,1.025,1.526,-8.789,4.395
-0.058,-0.175,1.028,0.366,-8.301,4.944
-0.063,-0.180,1.033,-0.671,-7.812,5.798
